标题,品牌,城市,价格,新车价格,首付,里程,年份,排放标准
长安CS35PLUS 2019款 1.6L 手动 畅联版 国VI,长安,北京,4.98,9.09,0.50万,8.69万公里,2019,国6
长安欧尚X7 PLUS 2022款 蓝鲸版 1.5T 双离合Geeker 领航型 5座,长安欧尚,北京,7.88,15.28,0.79万,4.16万公里,2022,国6
广汽传祺 传祺M6 2019款 270T 双离合 豪华版 6座 国VI,广汽传祺,北京,8.08,14.82,0.81万,7.40万公里,2020,国6
标致5008 2017款 380THP 精英版 7座,标致,北京,8.28,25.87,0.83万,6.39万公里,2017,国5
别克君威 2019款 20T 精英版 国V,别克,北京,8.81,20.69,0.88万,5.79万公里,2019,国5
奥迪A3 2017款 Sportback 35TFSI 运动版,奥迪,北京,9.18,26.18,0.92万,7.16万公里,2017,国5
大众途岳 2021款 280TSI 双离合 两驱 风尚版,大众,北京,10.68,18.81,1.07万,4.10万公里,2022,国6
丰田皇冠 2015款 2.0T 时尚版,丰田,北京,13.83,33.07,1.38万,5.65万公里,2016,国5
林肯冒险家 2022款 2.0T 两驱尊享版,林肯,北京,16.58,29.20,1.66万,2.29万公里,2022,国6
宝马X1 2021款 xDrive25Li 尊享型,宝马,北京,17.98,38.08,1.80万,4.32万公里,2021,国6
奥迪A4(进口) 2020款 Avant 先锋派 40TFSI 时尚动感型,奥迪,北京,18.88,38.30,1.89万,6.04万公里,2020,国6
路虎揽胜极光 2020款 249PS R-DYNAMIC S 运动版,路虎,北京,19.88,42.06,1.99万,4.56万公里,2021,国6
宝马X3 2021款 xDrive 28i M运动套装,宝马,北京,27.98,47.59,2.80万,2.72万公里,2021,国6
奥迪A6 2022款 Allroad quattro 55 TFSI 冰雪运动版,奥迪,北京,43.88,67.55,4.39万,3.13万公里,2022,国6
奔驰V级 2021款 V 260 L 尊贵版,奔驰,北京,45.18,68.68,4.52万,3.32万公里,2022,国6
现代瑞纳 2017款 1.4L 手动 焕新版 国V,现代,北京,3.58,5.99,0.36万,2.84万公里,2018,国5
长安奔奔EV 2019款 改款 EV360 标准版,长安,北京,3.68,8.18,0.37万,0.78万公里,2019,新能源
吉利汽车 吉利远景X3 2017款 1.5L 手动 精英版,吉利汽车,北京,3.68,6.43,0.37万,2.24万公里,2019,国5
广汽传祺 传祺GS3 2017款 150N 手动 精英版,广汽传祺,北京,4.28,9.30,0.43万,2.84万公里,2018,国5
东南DX7 2017款 1.5T 手自一体 豪华版,东南,北京,4.52,14.84,0.45万,8.77万公里,2018,国5
长安CS35PLUS 2019款 1.6L 手动 畅联版 国VI,长安,北京,4.98,9.09,0.50万,8.69万公里,2019,国6
长安欧尚X7 PLUS 2022款 蓝鲸版 1.5T 双离合Geeker 领航型 5座,长安欧尚,北京,7.88,15.28,0.79万,4.16万公里,2022,国6
广汽传祺 传祺M6 2019款 270T 双离合 豪华版 6座 国VI,广汽传祺,北京,8.08,14.82,0.81万,7.40万公里,2020,国6
