标题,品牌,城市,价格,新车价格,首付,里程,年份,排放标准
途锐 2011款 3.0TSI 高配型,大众,石家庄,9.70万,82.50万,0.0, 17万公里,2011,N/A
Model S 2016款 70,特斯拉,北京,15.88万,73.57万,0.0, 9.39万公里,2016,N/A
标致408 2020款 360THP 十周年质耀版,标致,绵阳,7.68万,15.97万,0.0, 3.40万公里,2020,N/A
宝马X1 2016款 sDrive20Li 豪华型,宝马,青岛,10.98万,34.50万,0.0, 7.30万公里,2016,N/A
英菲尼迪Q50L 2018款 2.0T 进享版 国VI,英菲尼迪,海口,14.68万,30.48万,0.0, 3万公里,2018,N/A
现代ix35 2015款 2.0L 自动两驱智能型 国IV,现代,福州,4.88万,17.68万,0.0, 13万公里,2015,N/A
智跑 2012款 2.0L 自动两驱版GLS,起亚,惠州,3.78万,19.28万,0.0, 13万公里,2012,N/A
揽胜极光 2020款 249PS R-DYNAMIC S 运动版,路虎,合肥,21.50万,37.58万,0.0, 1.62万公里,2020,N/A
宝马5系 2013款 525Li 领先型,宝马,广州,11.30万,45.96万,0.0, 10.60万公里,2013,N/A
途锐 2017款 3.0TSI 拓野型,大众,北京,26.99万,71.88万,0.0, 8.90万公里,2017,N/A
宝马X3(进口) 2014款 xDrive28i 领先型,宝马,海口,14.18万,55.90万,0.0, 7.90万公里,2014,N/A
传祺GA4 2018款 200T 自动豪华版,广汽传祺,东莞,4.48万,9.68万,0.0, 6.20万公里,2018,N/A
宋DM 2019款 1.5TID 智联锐动型,比亚迪,长沙,7.88万,18.69万,0.0, 5.63万公里,2019,N/A
本田CR-V 2013款 2.4L 两驱豪华版,本田,海口,7.98万,22.98万,0.0, 4.96万公里,2013,N/A
风光580 2018款 改款 1.5T CVT豪华型,东风风光,长沙,4.78万,10.10万,0.0, 2.93万公里,2018,N/A
途观L 2017款 330TSI 自动两驱豪华版,大众,青岛,10.26万,25.98万,0.0, 11.82万公里,2017,N/A
天籁 2008款 2.5L XL领先版,日产,广州,3.28万,22.48万,0.0, 19万公里,2008,N/A
迈锐宝XL 2019款 535T CVT锐动版,雪佛兰,东莞,7.28万,16.49万,0.0, 4.30万公里,2019,N/A
创酷 2016款 1.4T 自动两驱舒适天窗版,雪佛兰,海口,3.88万,12.19万,0.0, 8.55万公里,2016,N/A
发现运动版 2020款 249PS R-Dynamic S 性能版 5座,路虎,唐山,18.50万,38.28万,0.0, 4.10万公里,2020,N/A
途锐 2011款 3.0TSI 高配型,大众,石庄,.,.,0.0, ,2011,N/A
Model S 2016款 70,特斯拉,北京,.,.,0.0, .,2016,N/A
标致408 2020款 360THP 十周年质耀版,标致,绵阳,.,.,0.0, .,2020,N/A
宝马X1 2016款 sDrive20Li 豪华型,宝马,青岛,.,.,0.0, .,2016,N/A
英菲尼迪Q50L 2018款 2.0T 进享版 国VI,英菲尼迪,,.,.,0.0, ,2018,N/A
现代ix35 2015款 2.0L 自动两驱智能型 国IV,现代,福州,.,.,0.0, ,2015,N/A
智跑 2012款 2.0L 自动两驱版GLS,起亚,惠州,.,.,0.0, ,2012,N/A
揽胜极光 2020款 249PS R-DYNAMIC S 运动版,路虎,合肥,.,.,0.0, .,2020,N/A
宝马5系 2013款 525Li 领先型,宝马,广州,.,.,0.0, .,2013,N/A
途锐 2017款 3.0TSI 拓野型,大众,北京,.,.,0.0, .,2017,N/A
宝马X3(进口) 2014款 xDrive28i 领先型,宝马,,.,.,0.0, .,2014,N/A
传祺GA4 2018款 200T 自动豪华版,广汽传祺,莞,.,.,0.0, .,2018,N/A
宋DM 2019款 1.5TID 智联锐动型,比亚迪,沙,.,.,0.0, .,2019,N/A
本田CR-V 2013款 2.4L 两驱豪华版,本田,,.,.,0.0, .,2013,N/A
风光580 2018款 改款 1.5T CVT豪华型,东风风光,沙,.,.,0.0, .,2018,N/A
途观L 2017款 330TSI 自动两驱豪华版,大众,青岛,.,.,0.0, .,2017,N/A
天籁 2008款 2.5L XL领先版,日产,广州,.,.,0.0, ,2008,N/A
迈锐宝XL 2019款 535T CVT锐动版,雪佛兰,莞,.,.,0.0, .,2019,N/A
创酷 2016款 1.4T 自动两驱舒适天窗版,雪佛兰,,.,.,0.0, .,2016,N/A
发现运动版 2020款 249PS R-Dynamic S 性能版 5座,路虎,唐,.,.,0.0, .,2020,N/A
揽胜极光 2018款 240PS PURE 风尚版,路虎,东莞,12.68万,39.48万,0.0, 13万公里,2018,N/A
途胜 2020款 280TGDi 双离合两驱时尚版 国VI,现代,长沙,9.58万,17.99万,0.0, 3.33万公里,2020,N/A
