品牌,新车价格,里程(万公里),价格
102.0,29.37,9.15,3.98
135.0,11.18,9.62,4.18
102.0,36.98,1.59,4.7
64.0,12.5,8.44,6.48
116.0,19.25,5.17,7.51
116.0,15.95,8.6,7.68
146.0,14.28,0.5,8.18
116.0,16.37,5.4,8.36
13.0,19.25,5.42,8.56
64.0,16.83,3.32,9.22
146.0,14.84,4.71,9.98
59.0,15.5,3.01,10.28
59.0,18.49,1.58,12.19
158.0,43.06,3.86,14.18
69.0,26.21,4.86,14.36
137.0,42.06,4.56,21.18
70.0,36.09,1.27,22.98
69.0,96.65,9.07,28.88
73.0,47.59,2.72,30.41
55.0,7.87,4.82,3.58
6.0,31.43,10.67,4.28
146.0,9.64,4.9,4.79
146.0,9.09,8.69,4.98
102.0,11.51,6.04,5.18
55.0,15.65,7.58,5.18
116.0,23.73,9.6,5.18
101.0,9.83,1.6,5.58
155.0,15.94,6.17,6.1
159.0,18.59,1.73,6.45
39.0,14.39,2.65,6.58
64.0,16.05,6.53,6.78
89.0,14.39,5.64,7.48
64.0,32.52,7.08,7.48
59.0,12.19,3.23,7.78
25.0,10.96,1.12,7.88
96.0,25.93,9.43,7.98
129.0,15.82,3.58,8.08
123.0,15.16,2.64,8.58
163.0,18.26,4.79,8.58
91.0,26.48,8.65,8.58
167.0,18.39,2.43,8.88
149.0,15.28,4.16,8.88
146.0,14.28,4.31,8.88
39.0,20.69,5.79,9.49
70.0,26.18,7.16,9.88
69.0,30.3,8.48,9.88
137.0,41.2,6.93,10.88
144.0,17.25,5.71,10.9
64.0,18.81,4.1,11.56
39.0,21.35,1.5,11.58
37.0,32.96,5.45,12.58
73.0,52.92,12.14,13.28
64.0,24.9,4.67,14.08
137.0,45.27,7.81,14.58
70.0,34.46,8.41,15.58
25.0,33.07,5.65,15.78
64.0,28.1,3.23,16.28
64.0,23.91,2.53,18.28
108.0,48.04,7.96,18.38
98.0,29.2,2.29,18.98
73.0,38.08,4.32,19.98
70.0,38.3,6.04,21.88
30.0,81.04,6.94,23.38
163.0,38.09,3.14,27.1
137.0,48.03,1.02,27.88
167.0,42.03,0.23,33.38
70.0,67.55,3.13,46.78
69.0,68.68,3.32,48.88
80.0,9.3,2.84,4.28
55.0,16.93,2.5,4.88
102.0,13.6,1.59,7.46
64.0,18.25,2.78,9.69
80.0,14.83,3.64,9.76
146.0,14.84,1.79,10.78
155.0,27.67,5.81,10.99
64.0,24.57,3.23,11.98
163.0,19.25,13.82,3.16
91.0,23.28,15.29,5.68
96.0,17.48,7.55,6.98
135.0,15.95,7.34,7.63
64.0,15.95,4.83,8.38
160.0,15.8,5.51,8.88
146.0,13.95,1.51,9.58
54.0,17.8,3.83,10.88
91.0,22.57,7.47,11.38
96.0,28.75,5.3,18.15
69.0,34.87,7.33,19.28
137.0,42.06,3.76,21.78
25.0,34.42,3.82,22.38
73.0,99.82,3.54,42.98
66.0,9.2,9.07,3.38
135.0,15.27,6.96,4.78
64.0,11.3,2.67,4.98
64.0,10.19,0.43,5.68
74.0,8.75,1.43,5.68
5.0,20.35,8.99,5.86
59.0,18.5,6.94,6.08
64.0,15.28,11.23,6.18
39.0,23.63,9.68,6.38
135.0,18.7,5.67,6.68
102.0,11.51,1.08,7.58
108.0,37.54,11.71,7.68
64.0,17.15,3.33,7.78
116.0,20.36,7.97,8.08
102.0,16.37,2.26,8.78
146.0,15.28,5.16,8.78
25.0,25.43,3.42,8.98
64.0,18.37,6.37,9.38
64.0,27.0,8.87,9.68
146.0,13.51,0.98,9.78
64.0,44.16,10.0,9.88
59.0,28.1,11.78,10.08
69.0,35.87,7.68,10.88
89.0,21.14,2.93,11.23
144.0,17.25,6.05,11.88
89.0,30.3,8.97,11.88
70.0,24.1,6.37,12.01
64.0,32.52,9.25,12.58
39.0,22.58,3.65,12.66
55.0,17.64,1.56,12.88
73.0,32.52,6.76,14.88
96.0,33.65,11.98,16.03
64.0,23.25,2.58,16.56
73.0,35.54,6.06,16.58
64.0,27.44,3.86,17.68
69.0,34.87,3.14,18.86
108.0,45.06,3.62,22.18
123.0,42.52,6.99,24.98
73.0,84.34,10.74,28.28
69.0,38.94,6.0,28.8
91.0,62.48,7.1,30.8
74.0,6.75,6.94,2.88
73.0,34.77,3.94,16.73
80.0,21.79,3.24,16.88
108.0,47.16,8.04,18.78
67.0,8.17,2.27,4.58
116.0,18.14,6.05,6.66
99.0,17.03,3.27,7.18
13.0,19.25,7.94,7.98
64.0,26.11,7.58,8.3
96.0,18.6,1.42,10.98
64.0,26.99,3.27,13.98
125.0,46.63,1.59,18.98
137.0,42.84,4.27,21.58
55.0,15.93,1.39,9.88
25.0,22.57,3.4,14.48
80.0,24.77,4.52,15.58
158.0,44.52,8.63,17.78
96.0,26.1,0.56,18.58
96.0,30.96,5.66,20.08
30.0,138.32,8.61,35.88
123.0,12.39,5.63,4.78
64.0,11.96,7.27,4.86
15.0,14.84,0.03,6.58
102.0,15.71,2.5,10.58
64.0,30.2,5.52,10.68
167.0,25.22,2.3,13.88
64.0,18.81,0.19,14.18
7.0,46.71,2.58,14.68
37.0,28.31,2.42,15.68
64.0,26.78,3.2,16.38
96.0,30.96,5.09,19.53
47.0,17.25,4.18,2.78
35.0,4.41,2.54,2.88
12.0,6.77,8.53,2.98
64.0,13.72,2.67,5.08
129.0,15.82,6.19,5.48
64.0,10.41,4.86,5.62
22.0,9.87,3.63,5.68
55.0,8.09,1.13,5.76
39.0,15.61,3.83,5.88
101.0,8.62,2.88,6.28
91.0,15.06,3.98,6.88
116.0,13.72,5.73,7.18
55.0,10.41,2.94,7.38
123.0,15.16,3.63,7.58
59.0,28.09,8.5,8.18
89.0,21.47,4.78,8.56
96.0,15.17,1.85,9.41
129.0,21.35,1.87,10.38
59.0,15.28,3.78,10.38
59.0,16.27,2.74,10.98
73.0,34.34,7.44,11.18
91.0,27.04,4.8,11.68
146.0,17.5,1.77,11.86
129.0,21.35,3.35,14.58
7.0,46.71,3.39,14.88
73.0,61.41,4.18,17.78
80.0,26.21,3.14,18.18
62.0,24.12,4.11,18.33
39.0,30.31,1.65,23.18
69.0,35.87,2.21,24.58
108.0,47.6,2.96,27.16
73.0,47.59,3.69,28.28
73.0,55.78,5.14,28.98
116.0,16.04,4.15,8.22
146.0,7.98,1.85,3.98
129.0,18.92,9.22,4.96
70.0,23.98,4.58,8.96
89.0,17.05,2.76,8.98
25.0,9.96,3.18,5.81
11.0,15.14,6.25,5.98
91.0,17.37,8.88,5.98
129.0,16.59,3.27,6.58
135.0,15.95,6.59,6.98
123.0,21.79,6.77,6.98
123.0,13.73,9.16,2.63
64.0,9.94,10.34,3.18
59.0,14.71,7.33,3.26
64.0,8.87,10.5,3.33
135.0,9.09,7.57,3.38
123.0,16.38,7.91,3.46
141.0,10.4,4.39,3.58
141.0,11.51,5.89,3.58
27.0,5.44,3.24,3.98
19.0,11.65,5.65,4.31
146.0,16.49,2.65,4.33
14.0,15.32,5.03,4.96
123.0,16.14,3.18,5.08
74.0,10.85,6.1,5.76
55.0,10.41,1.85,6.23
91.0,13.59,5.24,6.38
59.0,17.29,6.79,6.38
146.0,12.39,5.38,6.88
146.0,10.86,1.26,7.38
64.0,14.39,2.28,7.38
66.0,14.5,2.91,7.56
91.0,17.48,3.84,7.78
59.0,13.85,4.8,7.78
110.0,15.93,2.22,7.88
91.0,14.17,3.19,8.21
116.0,12.95,1.74,8.39
96.0,24.56,9.57,8.78
64.0,15.51,1.96,8.81
80.0,14.82,6.62,9.0
25.0,14.83,1.01,9.33
13.0,19.59,5.24,9.43
96.0,15.17,1.32,9.45
89.0,23.68,6.6,9.53
59.0,14.85,3.36,9.58
64.0,17.16,5.31,10.08
146.0,18.15,2.78,11.32
146.0,20.7,1.89,13.08
42.0,22.07,2.03,14.36
64.0,30.1,1.87,17.98
123.0,30.31,5.7,18.08
15.0,21.79,8.62,3.18
64.0,16.38,5.22,7.38
39.0,21.02,9.5,7.99
129.0,7.97,1.87,4.26
64.0,9.09,3.93,4.78
80.0,13.39,8.15,4.88
55.0,9.3,3.81,5.46
64.0,22.01,7.8,7.06
39.0,29.66,1.25,17.58
116.0,9.2,10.39,2.46
27.0,4.08,1.97,2.98
155.0,11.52,10.02,3.18
155.0,10.3,5.06,4.13
123.0,9.3,7.09,4.19
129.0,8.87,5.17,4.22
155.0,12.83,5.49,4.99
135.0,14.27,8.27,5.06
64.0,11.96,3.94,5.26
144.0,9.19,5.38,5.58
39.0,17.6,4.16,6.39
64.0,16.49,2.16,6.98
167.0,14.83,4.03,7.38
146.0,13.07,3.49,7.48
146.0,14.17,4.79,8.05
39.0,20.69,5.99,8.86
64.0,34.1,12.98,8.98
64.0,18.74,5.36,9.88
64.0,20.48,3.16,10.58
76.0,22.78,1.13,11.68
96.0,34.75,2.98,22.88
123.0,40.31,6.8,24.68
66.0,7.76,2.76,5.18
116.0,14.27,6.84,6.21
155.0,15.39,5.88,6.58
149.0,11.08,2.89,7.28
64.0,16.72,7.2,7.86
64.0,15.4,6.08,7.96
167.0,21.35,5.38,8.49
64.0,19.14,7.16,8.58
116.0,15.94,5.42,8.89
5.0,19.58,5.49,9.22
146.0,14.17,1.28,9.81
146.0,15.06,1.57,9.98
123.0,21.79,3.65,10.38
91.0,17.61,3.06,10.48
163.0,17.37,4.09,10.58
73.0,25.22,4.02,10.69
102.0,17.25,2.98,10.79
91.0,21.24,4.03,11.78
96.0,20.35,6.01,12.18
7.0,46.71,2.73,13.98
7.0,46.71,2.07,14.38
96.0,31.42,6.44,16.68
125.0,41.54,4.37,17.18
64.0,41.28,7.98,17.23
108.0,38.08,0.98,20.26
64.0,35.86,3.53,21.98
73.0,47.59,2.58,28.78
64.0,13.06,7.61,3.88
64.0,9.31,6.93,4.28
89.0,12.18,8.51,4.98
39.0,14.5,8.18,5.06
64.0,11.62,3.72,5.18
19.0,8.19,0.04,5.98
74.0,10.62,2.93,5.98
146.0,10.86,2.07,6.18
155.0,13.18,3.26,6.18
74.0,11.85,3.65,6.28
116.0,13.72,4.34,6.38
5.0,20.35,7.47,6.58
96.0,15.6,9.7,6.58
146.0,13.94,5.81,6.68
80.0,14.83,4.59,6.88
64.0,12.63,3.26,7.18
89.0,18.15,6.24,7.18
39.0,17.71,1.45,7.58
39.0,19.08,3.7,7.68
64.0,14.07,2.04,7.89
59.0,16.29,2.67,7.98
64.0,15.4,3.72,8.06
91.0,14.17,2.67,8.18
64.0,18.58,5.49,8.68
57.0,15.27,3.09,8.76
64.0,16.72,5.41,8.86
96.0,17.71,7.67,9.18
55.0,15.16,1.17,9.22
64.0,17.41,3.39,9.38
55.0,12.95,0.91,9.41
76.0,19.14,3.71,9.78
70.0,35.45,4.25,9.78
91.0,15.28,1.5,9.88
59.0,18.81,2.43,11.88
96.0,22.56,6.17,13.48
96.0,20.35,5.39,13.78
80.0,26.21,6.06,15.48
39.0,26.99,2.86,16.18
96.0,32.85,6.4,19.73
64.0,40.28,5.47,21.18
37.0,48.02,4.96,21.98
69.0,39.96,6.36,24.68
91.0,71.59,9.79,24.98
64.0,8.87,4.6,3.98
22.0,8.2,6.65,4.18
89.0,13.73,5.82,4.58
129.0,16.93,5.86,4.78
167.0,21.46,1.37,9.98
149.0,18.81,0.2,11.38
39.0,30.31,5.6,14.88
59.0,13.63,9.79,4.08
64.0,12.39,10.13,4.08
146.0,12.07,8.44,6.38
167.0,18.39,3.6,7.16
146.0,14.17,3.25,9.78
27.0,6.21,5.96,3.08
27.0,4.08,0.28,3.18
87.0,10.41,9.96,4.78
135.0,9.3,6.84,5.53
129.0,10.19,4.69,5.78
135.0,9.3,2.63,6.28
123.0,12.72,2.54,6.36
27.0,9.28,0.27,6.98
146.0,13.07,1.7,8.65
135.0,15.95,3.73,9.06
160.0,16.93,1.82,9.08
66.0,17.93,1.04,10.13
91.0,21.24,5.24,12.59
64.0,38.1,3.54,20.98
37.0,45.78,7.13,26.88
64.0,10.19,1.55,5.21
27.0,6.65,7.42,3.88
163.0,12.96,7.56,4.86
116.0,14.27,3.93,6.51
96.0,29.64,5.57,14.38
57.0,8.18,6.93,1.86
36.0,6.2,5.98,2.28
131.0,14.71,5.42,2.7
116.0,20.8,10.56,3.2
64.0,12.45,8.72,3.68
116.0,5.99,7.12,4.29
64.0,15.54,10.14,4.82
155.0,12.61,3.55,5.12
99.0,21.34,8.62,5.29
55.0,10.3,1.28,5.91
116.0,9.86,3.04,5.92
89.0,17.04,8.55,6.03
116.0,18.59,7.64,6.08
123.0,12.72,4.11,6.18
91.0,15.71,6.9,6.38
64.0,14.39,2.37,6.58
146.0,19.25,6.03,6.73
91.0,13.59,8.09,7.02
59.0,15.71,6.84,7.96
91.0,17.48,4.77,8.08
64.0,16.38,5.41,8.28
39.0,21.02,7.0,8.41
146.0,14.17,7.75,8.43
96.0,14.82,4.0,9.18
64.0,15.72,1.01,9.28
64.0,16.72,2.95,9.41
64.0,15.61,1.44,9.45
96.0,20.36,8.65,9.83
96.0,15.95,5.78,9.85
64.0,30.2,9.66,9.98
102.0,14.38,1.49,10.01
102.0,14.15,0.15,10.39
64.0,15.72,3.36,10.58
39.0,22.58,5.02,11.12
64.0,21.35,5.7,11.26
91.0,22.52,3.96,11.28
37.0,30.75,5.13,12.26
96.0,21.79,1.05,15.91
39.0,35.86,7.2,18.08
64.0,37.08,7.12,18.28
70.0,37.64,4.56,19.28
69.0,38.85,5.06,21.28
137.0,70.83,5.31,31.48
42.0,19.3,3.66,7.15
39.0,24.57,2.72,14.38
149.0,8.73,1.35,5.08
64.0,11.63,1.72,7.68
116.0,20.36,7.11,7.78
99.0,15.92,1.5,7.98
96.0,15.94,5.53,8.41
91.0,14.84,1.53,9.38
123.0,21.79,6.4,9.98
7.0,46.71,2.73,13.78
64.0,21.14,0.01,14.78
98.0,31.42,1.68,19.78
39.0,37.63,3.3,21.08
108.0,44.4,2.97,25.98
70.0,127.69,6.93,57.98
59.0,7.43,8.3,2.7
27.0,4.61,1.48,2.88
59.0,10.41,4.27,4.98
64.0,10.19,3.38,5.35
74.0,9.52,3.67,5.38
59.0,9.53,2.29,6.18
59.0,12.19,4.69,6.78
135.0,19.48,7.75,6.93
91.0,14.06,5.03,6.98
91.0,14.17,2.51,7.58
129.0,15.82,3.84,7.81
64.0,14.28,1.78,7.98
64.0,15.4,5.55,7.98
64.0,16.2,4.89,8.08
80.0,14.49,5.78,8.08
25.0,14.83,1.83,8.09
58.0,12.61,0.93,8.18
167.0,21.35,4.72,8.25
91.0,14.84,5.3,8.76
96.0,17.04,5.68,8.88
135.0,16.94,6.11,8.88
