品牌,新车价格,里程(万公里),价格,
比亚迪,29.37,9.15,3.98,
起亚,11.18,9.62,4.18,
比亚迪,36.98,1.59,4.7,
大众,12.5,8.44,6.48,
现代,19.25,5.17,7.51,
现代,15.95,8.6,7.68,
长安,14.28,0.5,8.18,
现代,16.37,5.4,8.36,
三菱,19.25,5.42,8.56,
大众,16.83,3.32,9.22,
长安,14.84,4.71,9.98,
哈弗,15.5,3.01,10.28,
哈弗,18.49,1.58,12.19,
雷克萨斯,43.06,3.86,14.18,
奔驰,26.21,4.86,14.36,
路虎,42.06,4.56,21.18,
奥迪,36.09,1.27,22.98,
奔驰,96.65,9.07,28.88,
宝马,47.59,2.72,30.41,
吉利汽车,7.87,4.82,3.58,
MINI,31.43,10.67,4.28,
长安,9.64,4.9,4.79,
长安,9.09,8.69,4.98,
比亚迪,11.51,6.04,5.18,
吉利汽车,15.65,7.58,5.18,
现代,23.73,9.6,5.18,
欧拉,9.83,1.6,5.58,
雪佛兰,15.94,6.17,6.1,
雷诺,18.59,1.73,6.45,
别克,14.39,2.65,6.58,
大众,16.05,6.53,6.78,
斯柯达,14.39,5.64,7.48,
大众,32.52,7.08,7.48,
哈弗,12.19,3.23,7.78,
丰田,10.96,1.12,7.88,
本田,25.93,9.43,7.98,
荣威,15.82,3.58,8.08,
福特,15.16,2.64,8.58,
马自达,18.26,4.79,8.58,
日产,26.48,8.65,8.58,
魏牌,18.39,2.43,8.88,
长安欧尚,15.28,4.16,8.88,
长安,14.28,4.31,8.88,
别克,20.69,5.79,9.49,
奥迪,26.18,7.16,9.88,
奔驰,30.3,8.48,9.88,
路虎,41.2,6.93,10.88,
铃木,17.25,5.71,10.9,
大众,18.81,4.1,11.56,
别克,21.35,1.5,11.58,
凯迪拉克,32.96,5.45,12.58,
宝马,52.92,12.14,13.28,
大众,24.9,4.67,14.08,
路虎,45.27,7.81,14.58,
奥迪,34.46,8.41,15.58,
丰田,33.07,5.65,15.78,
大众,28.1,3.23,16.28,
大众,23.91,2.53,18.28,
沃尔沃,48.04,7.96,18.38,
林肯,29.2,2.29,18.98,
宝马,38.08,4.32,19.98,
奥迪,38.3,6.04,21.88,
保时捷,81.04,6.94,23.38,
马自达,38.09,3.14,27.1,
路虎,48.03,1.02,27.88,
魏牌,42.03,0.23,33.38,
奥迪,67.55,3.13,46.78,
奔驰,68.68,3.32,48.88,
广汽传祺,9.3,2.84,4.28,
吉利汽车,16.93,2.5,4.88,
比亚迪,13.6,1.59,7.46,
大众,18.25,2.78,9.69,
广汽传祺,14.83,3.64,9.76,
长安,14.84,1.79,10.78,
雪佛兰,27.67,5.81,10.99,
大众,24.57,3.23,11.98,
马自达,19.25,13.82,3.16,
日产,23.28,15.29,5.68,
本田,17.48,7.55,6.98,
起亚,15.95,7.34,7.63,
大众,15.95,4.83,8.38,
领克,15.8,5.51,8.88,
长安,13.95,1.51,9.58,
吉利几何,17.8,3.83,10.88,
日产,22.57,7.47,11.38,
本田,28.75,5.3,18.15,
奔驰,34.87,7.33,19.28,
路虎,42.06,3.76,21.78,
丰田,34.42,3.82,22.38,
宝马,99.82,3.54,42.98,
奇瑞,9.2,9.07,3.38,
起亚,15.27,6.96,4.78, 
大众,11.3,2.67,4.98,
大众,10.19,0.43,5.68,
宝骏,8.75,1.43,5.68,
Jeep,20.35,8.99,5.86,
哈弗,18.5,6.94,6.08,
大众,15.28,11.23,6.18,
别克,23.63,9.68,6.38,
起亚,18.7,5.67,6.68,
比亚迪,11.51,1.08,7.58,
沃尔沃,37.54,11.71,7.68,
大众,17.15,3.33,7.78,
现代,20.36,7.97,8.08,
比亚迪,16.37,2.26,8.78,
长安,15.28,5.16,8.78,
丰田,25.43,3.42,8.98,
大众,18.37,6.37,9.38,
大众,27,8.87,9.68,
长安,13.51,0.98,9.78,
大众,44.16,10,9.88,
哈弗,28.1,11.78,10.08,
奔驰,35.87,7.68,10.88,
斯柯达,21.14,2.93,11.23,
铃木,17.25,6.05,11.88,
斯柯达,30.3,8.97,11.88,
奥迪,24.1,6.37,12.01,
大众,32.52,9.25,12.58,
别克,22.58,3.65,12.66,
吉利汽车,17.64,1.56,12.88,
宝马,32.52,6.76,14.88,
本田,33.65,11.98,16.03,
大众,23.25,2.58,16.56,
宝马,35.54,6.06,16.58,
大众,27.44,3.86,17.68,
奔驰,34.87,3.14,18.86,
沃尔沃,45.06,3.62,22.18,
福特,42.52,6.99,24.98,
宝马,84.34,10.74,28.28,
奔驰,38.94,6,28.8,
日产,62.48,7.1,30.8,
宝骏,6.75,6.94,2.88,
宝马,34.77,3.94,16.73,
广汽传祺,21.79,3.24,16.88,
沃尔沃,47.16,8.04,18.78,
奇瑞新能源,8.17,2.27,4.58,
现代,18.14,6.05,6.66,
标致,17.03,3.27,7.18,
三菱,19.25,7.94,7.98,
大众,26.11,7.58,8.3,
